service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1","0","0","0","0","0","0","1","20130107","20130224"
"10","1","0","0","0","0","0","0","20130107","20130224"
"11","0","1","0","0","0","0","0","20130107","20130224"
"12","0","1","0","0","0","0","0","20130107","20130224"
"13","0","1","0","0","0","0","0","20130107","20130224"
"14","0","1","0","0","0","0","0","20130107","20130224"
"15","0","0","1","0","0","0","0","20130107","20130224"
"16","0","0","1","0","0","0","0","20130107","20130224"
"17","0","0","1","0","0","0","0","20130107","20130224"
"18","0","0","1","0","0","0","0","20130107","20130224"
"19","0","0","0","0","0","1","0","20130107","20130224"
"2","0","0","0","0","0","0","1","20130107","20130224"
"20","0","0","0","0","0","1","0","20130107","20130224"
"21","1","1","1","1","1","0","0","20130107","20130224"
"22","0","0","0","0","1","0","0","20130107","20130224"
"23","0","0","1","0","0","0","0","20130107","20130224"
"24","0","1","1","1","1","0","0","20130107","20130224"
"25","1","0","0","0","0","0","0","20130107","20130224"
"26","1","1","0","1","0","0","0","20130107","20130224"
"27","1","1","0","1","1","0","0","20130107","20130224"
"28","1","1","1","1","0","0","0","20130107","20130224"
"29","0","0","0","0","1","0","0","20130107","20130224"
"3","0","0","0","1","0","0","0","20130107","20130224"
"30","0","0","0","0","1","0","0","20130107","20130224"
"31","0","0","0","0","1","0","0","20130107","20130224"
"32","0","0","0","0","1","0","0","20130107","20130224"
"4","0","0","0","1","0","0","0","20130107","20130224"
"5","0","0","0","1","0","0","0","20130107","20130224"
"6","0","0","0","1","0","0","0","20130107","20130224"
"7","1","0","0","0","0","0","0","20130107","20130224"
"8","1","0","0","0","0","0","0","20130107","20130224"
"9","1","0","0","0","0","0","0","20130107","20130224"
