trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"1","19","0052","52 | Pacé Saint-Gilles","0",""
"10","19","0052","52 | Montgermont La Chapelle","1",""
"100","20","0053","53 | Vezin Hermitage Chapelle-Th.","1",""
"1000","19","0055","55 | Rennes Charles de Gaulle","1",""
"10000","31","0002","2 | Haut Sancé","0",""
"10001","5","0002","2 | Haut Sancé","0",""
"10002","9","0002","2 | Haut Sancé","0",""
"10003","13","0002","2 | Haut Sancé","0",""
"10004","17","0002","2 | Haut Sancé","0",""
"10005","31","0002","2 | Haut Sancé","0",""
"10006","5","0002","2 | Haut Sancé","0",""
"10007","9","0002","2 | Haut Sancé","0",""
"10008","13","0002","2 | Haut Sancé","0",""
"10009","17","0002","2 | Haut Sancé","0",""
"1001","19","0055","55 | Rennes Charles de Gaulle","1",""
"10010","31","0002","2 | Haut Sancé","0",""
"10011","5","0002","2 | Haut Sancé","0",""
"10012","9","0002","2 | Haut Sancé","0",""
"10013","13","0002","2 | Haut Sancé","0",""
"10014","17","0002","2 | Haut Sancé","0",""
"10015","31","0002","2 | Haut Sancé","0",""
"10016","5","0002","2 | Haut Sancé","0",""
"10017","9","0002","2 | Haut Sancé","0",""
"10018","13","0002","2 | Haut Sancé","0",""
"10019","17","0002","2 | Haut Sancé","0",""
"1002","19","0055","55 | Rennes Charles de Gaulle","1",""
"10020","31","0002","2 | Haut Sancé","0",""
"10021","5","0002","2 | Haut Sancé","0",""
"10022","9","0002","2 | Haut Sancé","0",""
"10023","13","0002","2 | Haut Sancé","0",""
"10024","17","0002","2 | Haut Sancé","0",""
"10025","31","0002","2 | Haut Sancé","0",""
"10026","5","0002","2 | Haut Sancé","0",""
"10027","9","0002","2 | Haut Sancé","0",""
"10028","13","0002","2 | Haut Sancé","0",""
"10029","17","0002","2 | Haut Sancé","0",""
"1003","19","0055","55 | Rennes Charles de Gaulle","1",""
"10030","31","0002","2 | Haut Sancé","0",""
"10031","5","0002","2 | Haut Sancé","0",""
"10032","9","0002","2 | Haut Sancé","0",""
"10033","13","0002","2 | Haut Sancé","0",""
"10034","17","0002","2 | Haut Sancé","0",""
"10035","31","0002","2 | Haut Sancé","0",""
"10036","5","0002","2 | Haut Sancé","0",""
"10037","9","0002","2 | Haut Sancé","0",""
"10038","13","0002","2 | Haut Sancé","0",""
"10039","17","0002","2 | Haut Sancé","0",""
"1004","19","0055","55 | Rennes Charles de Gaulle","1",""
"10040","31","0002","2 | Haut Sancé","0",""
"10041","5","0002","2 | Haut Sancé","0",""
"10042","9","0002","2 | Haut Sancé","0",""
"10043","13","0002","2 | Haut Sancé","0",""
"10044","17","0002","2 | Haut Sancé","0",""
"10045","31","0002","2 | Haut Sancé","0",""
"10046","5","0002","2 | Haut Sancé","0",""
"10047","9","0002","2 | Haut Sancé","0",""
"10048","13","0002","2 | Haut Sancé","0",""
"10049","17","0002","2 | Haut Sancé","0",""
"1005","19","0055","55 | Mordelles Le Verger","0",""
"10050","31","0002","2 | Haut Sancé","0",""
"10051","5","0002","2 | Haut Sancé","0",""
"10052","9","0002","2 | Haut Sancé","0",""
"10053","13","0002","2 | Haut Sancé","0",""
"10054","17","0002","2 | Haut Sancé","0",""
"10055","31","0002","2 | Haut Sancé","0",""
"10056","5","0002","2 | Haut Sancé","0",""
"10057","9","0002","2 | Haut Sancé","0",""
"10058","13","0002","2 | Haut Sancé","0",""
"10059","17","0002","2 | Haut Sancé","0",""
"1006","19","0055","55 | Mordelles","0",""
"10060","31","0002","2 | Haut Sancé","0",""
"10061","5","0002","2 | Haut Sancé","0",""
"10062","9","0002","2 | Haut Sancé","0",""
"10063","13","0002","2 | Haut Sancé","0",""
"10064","17","0002","2 | Haut Sancé","0",""
"10065","31","0002","2 | Haut Sancé","0",""
"10066","5","0002","2 | Haut Sancé","0",""
"10067","9","0002","2 | Haut Sancé","0",""
"10068","13","0002","2 | Haut Sancé","0",""
"10069","17","0002","2 | Haut Sancé","0",""
"1007","19","0055","55 | Mordelles Le Verger","0",""
"10070","31","0002","2 | Haut Sancé","0",""
"10071","5","0002","2 | Haut Sancé","0",""
"10072","9","0002","2 | Haut Sancé","0",""
"10073","13","0002","2 | Haut Sancé","0",""
"10074","17","0002","2 | Haut Sancé","0",""
"10075","31","0002","2 | Haut Sancé","0",""
"10076","5","0002","2 | Haut Sancé","0",""
"10077","9","0002","2 | Haut Sancé","0",""
"10078","13","0002","2 | Haut Sancé","0",""
"10079","17","0002","2 | Haut Sancé","0",""
"1008","19","0055","55 | Mordelles","0",""
"10080","31","0002","2 | Haut Sancé","0",""
"10081","5","0002","2 | Haut Sancé","0",""
"10082","9","0002","2 | Haut Sancé","0",""
"10083","13","0002","2 | Haut Sancé","0",""
"10084","17","0002","2 | Haut Sancé","0",""
"10085","31","0002","2 | Haut Sancé","0",""
"10086","5","0002","2 | Haut Sancé","0",""
"10087","9","0002","2 | Haut Sancé","0",""
"10088","13","0002","2 | Haut Sancé","0",""
"10089","17","0002","2 | Haut Sancé","0",""
"1009","19","0055","55 | Mordelles Le Verger","0",""
"10090","31","0002","2 | Haut Sancé","0",""
"10091","5","0002","2 | Haut Sancé","0",""
"10092","9","0002","2 | Haut Sancé","0",""
"10093","13","0002","2 | Haut Sancé","0",""
"10094","17","0002","2 | Haut Sancé","0",""
"10095","31","0002","2 | Haut Sancé","0",""
"10096","5","0002","2 | Haut Sancé","0",""
"10097","9","0002","2 | Haut Sancé","0",""
"10098","13","0002","2 | Haut Sancé","0",""
"10099","17","0002","2 | Haut Sancé","0",""
"101","20","0053","53 | Vezin Hermitage Chapelle-Th.","1",""
"1010","19","0055","55 | Mordelles","0",""
"10100","31","0002","2 | Haut Sancé","0",""
"10101","5","0002","2 | Haut Sancé","0",""
"10102","9","0002","2 | Haut Sancé","0",""
"10103","13","0002","2 | Haut Sancé","0",""
"10104","17","0002","2 | Haut Sancé","0",""
"10105","31","0002","2 | Haut Sancé","0",""
"10106","5","0002","2 | Grand Quartier","1",""
"10107","9","0002","2 | Grand Quartier","1",""
"10108","13","0002","2 | Grand Quartier","1",""
"10109","17","0002","2 | Grand Quartier","1",""
"1011","19","0055","55 | Mordelles Le Verger","0",""
"10110","31","0002","2 | Grand Quartier","1",""
"10111","5","0002","2 | Grand Quartier","1",""
"10112","9","0002","2 | Grand Quartier","1",""
"10113","13","0002","2 | Grand Quartier","1",""
"10114","17","0002","2 | Grand Quartier","1",""
"10115","31","0002","2 | Grand Quartier","1",""
"10116","5","0002","2 | Grand Quartier","1",""
"10117","9","0002","2 | Grand Quartier","1",""
"10118","13","0002","2 | Grand Quartier","1",""
"10119","17","0002","2 | Grand Quartier","1",""
"1012","19","0055","55 | Mordelles","0",""
"10120","31","0002","2 | Grand Quartier","1",""
"10121","5","0002","2 | Grand Quartier","1",""
"10122","9","0002","2 | Grand Quartier","1",""
"10123","13","0002","2 | Grand Quartier","1",""
"10124","17","0002","2 | Grand Quartier","1",""
"10125","31","0002","2 | Grand Quartier","1",""
"10126","5","0002","2 | Grand Quartier","1",""
"10127","9","0002","2 | Grand Quartier","1",""
"10128","13","0002","2 | Grand Quartier","1",""
"10129","17","0002","2 | Grand Quartier","1",""
"1013","19","0055","55 | Mordelles Le Verger","0",""
"10130","31","0002","2 | Grand Quartier","1",""
"10131","5","0002","2 | Grand Quartier","1",""
"10132","9","0002","2 | Grand Quartier","1",""
"10133","13","0002","2 | Grand Quartier","1",""
"10134","17","0002","2 | Grand Quartier","1",""
"10135","31","0002","2 | Grand Quartier","1",""
"10136","5","0002","2 | Grand Quartier","1",""
"10137","9","0002","2 | Grand Quartier","1",""
"10138","13","0002","2 | Grand Quartier","1",""
"10139","17","0002","2 | Grand Quartier","1",""
"1014","19","0055","55 | Mordelles","0",""
"10140","31","0002","2 | Grand Quartier","1",""
"10141","5","0002","2 | Grand Quartier","1",""
