trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"1","8","0001","1 | Chantepie Rosa Parks","0","998786"
"10","34","0001","1 | Chantepie Rosa Parks","0","999018"
"100","34","0001","1 | Chantepie Rosa Parks","0","999022"
"1000","34","0006","6 | Cesson-Sévigné Base de Loisirs","1","998898"
"10000","26","0158","KL | Rennes République","1","998355"
"10001","34","0158","KL | Rennes République","1","998832"
"10002","8","0158","KL | Rennes République","1","998591"
"10003","14","0158","KL | Rennes République","1","997564"
"10004","20","0158","KL | Rennes République","1","998094"
"10005","26","0158","KL | Rennes République","1","998356"
"10006","34","0158","KL | Rennes République","1","998833"
"10007","8","0158","KL | Rennes République","1","998588"
"10008","14","0158","KL | Rennes République","1","997565"
"10009","20","0158","KL | Rennes République","1","998095"
"1001","8","0006","6 | Cesson-Sévigné Base de Loisirs","1","998620"
"10010","26","0158","KL | Rennes République","1","998357"
"10011","34","0158","KL | Rennes République","1","998834"
"10012","8","0158","KL | Rennes République","1","998574"
"10013","14","0158","KL | Rennes République","1","996539"
"10014","20","0158","KL | Rennes République","1","998075"
"10015","26","0158","KL | Rennes République","1","998231"
"10016","34","0158","KL | Rennes République","1","999046"
"10017","8","0158","KL | Ker-Lann","0","998769"
"10018","14","0158","KL | Ker-Lann","0","997522"
"10019","20","0158","KL | Ker-Lann","0","998080"
"1002","14","0006","6 | Cesson-Sévigné Base de Loisirs","1","996592"
"10020","26","0158","KL | Ker-Lann","0","998349"
"10021","34","0158","KL | Ker-Lann","0","998990"
"10022","8","0158","KL | Ker-Lann","0","998590"
"10023","14","0158","KL | Ker-Lann","0","997566"
"10024","20","0158","KL | Ker-Lann","0","998097"
"10025","26","0158","KL | Ker-Lann","0","998358"
"10026","34","0158","KL | Ker-Lann","0","998835"
"10027","8","0158","KL | Ker-Lann","0","998573"
"10028","14","0158","KL | Ker-Lann","0","996542"
"10029","20","0158","KL | Ker-Lann","0","998096"
"1003","20","0006","6 | Cesson-Sévigné Base de Loisirs","1","998192"
"10030","26","0158","KL | Ker-Lann","0","998236"
"10031","34","0158","KL | Ker-Lann","0","999053"
"10032","8","0158","KL | Ker-Lann","0","998551"
"10033","14","0158","KL | Ker-Lann","0","996538"
"10034","20","0158","KL | Ker-Lann","0","997669"
"10035","26","0158","KL | Ker-Lann","0","998230"
"10036","34","0158","KL | Ker-Lann","0","999045"
"10037","8","0158","KL | Rennes République","1","998591"
"10038","14","0158","KL | Rennes République","1","997564"
"10039","20","0158","KL | Rennes République","1","998094"
"1004","26","0006","6 | Cesson-Sévigné Base de Loisirs","1","998417"
"10040","26","0158","KL | Rennes République","1","998356"
"10041","34","0158","KL | Rennes République","1","998833"
"10042","8","0005","5 | Patton","1","998729"
"10043","14","0005","5 | Patton","1","997525"
"10044","20","0005","5 | Patton","1","998085"
"10045","26","0005","5 | Patton","1","998351"
"10046","34","0005","5 | Patton","1","998995"
"10047","8","0033","33 | Collège Jean Moulin","0","998730"
"10048","14","0033","33 | Collège Jean Moulin","0","997485"
"10049","20","0033","33 | Collège Jean Moulin","0","997676"
"1005","34","0006","6 | Cesson-Sévigné Base de Loisirs","1","998910"
"10050","26","0033","33 | Collège Jean Moulin","0","998307"
"10051","34","0033","33 | Collège Jean Moulin","0","998884"
"10052","35","0207","207 | Rennes Gares","0","998826"
"10053","8","0064","64 | Cesson-Sévigné Saint-Etienne","1","998778"
"10054","14","0064","64 | Cesson-Sévigné Saint-Etienne","1","997531"
"10055","20","0064","64 | Cesson-Sévigné Saint-Etienne","1","998121"
"10056","26","0064","64 | Cesson-Sévigné Saint-Etienne","1","998359"
"10057","34","0064","64 | Cesson-Sévigné Saint-Etienne","1","999004"
"10058","8","0207","207 | Lycée Saint-Etienne","1","998599"
"10059","14","0207","207 | Lycée Saint-Etienne","1","997569"
"1006","8","0006","6 | Saint-Jacques Morinais","0","998611"
"10060","20","0207","207 | Lycée Saint-Etienne","1","998141"
"10061","26","0207","207 | Lycée Saint-Etienne","1","998368"
"10062","34","0207","207 | Lycée Saint-Etienne","1","998838"
"10063","27","0207","207 | Rennes Gares","0","998253"
"10064","8","0207","207 | Rennes Gares","0","998570"
"10065","14","0207","207 | Rennes Gares","0","996552"
"10066","20","0207","207 | Rennes Gares","0","998199"
"10067","26","0207","207 | Rennes Gares","0","998234"
"10068","34","0207","207 | Rennes Gares","0","999050"
"10069","8","0009","9 | Saint-Laurent","1","998765"
"1007","14","0006","6 | Saint-Jacques Morinais","0","996583"
"10070","14","0009","9 | Saint-Laurent","1","997526"
"10071","20","0009","9 | Saint-Laurent","1","998087"
"10072","26","0009","9 | Saint-Laurent","1","998352"
"10073","34","0009","9 | Saint-Laurent","1","998996"
"10074","8","0001","1 | Cesson-Sévigné Champs Blancs","1","998804"
"10075","14","0001","1 | Cesson-Sévigné Champs Blancs","1","997559"
"10076","20","0001","1 | Cesson-Sévigné Champs Blancs","1","998172"
"10077","26","0001","1 | Cesson-Sévigné Champs Blancs","1","998371"
"10078","34","0001","1 | Cesson-Sévigné Champs Blancs","1","999038"
"10079","8","0002","2 | Haut Sancé","0","998695"
"1008","20","0006","6 | Saint-Jacques Morinais","0","998181"
"10080","14","0002","2 | Haut Sancé","0","996572"
"10081","20","0002","2 | Haut Sancé","0","997646"
"10082","26","0002","2 | Haut Sancé","0","998284"
"10083","34","0002","2 | Haut Sancé","0","998854"
"10084","8","0002","2 | Haut Sancé","0","998694"
"10085","14","0002","2 | Haut Sancé","0","997463"
"10086","20","0002","2 | Haut Sancé","0","997645"
"10087","26","0002","2 | Haut Sancé","0","998283"
"10088","34","0002","2 | Haut Sancé","0","998853"
"10089","8","0002","2 | Haut Sancé","0","998604"
"1009","26","0006","6 | Saint-Jacques Morinais","0","998409"
"10090","14","0002","2 | Haut Sancé","0","996574"
"10091","20","0002","2 | Haut Sancé","0","997648"
"10092","26","0002","2 | Haut Sancé","0","998399"
"10093","34","0002","2 | Haut Sancé","0","998856"
"10094","8","0002","2 | Haut Sancé","0","998695"
"10095","14","0002","2 | Haut Sancé","0","996572"
"10096","20","0002","2 | Haut Sancé","0","997646"
"10097","26","0002","2 | Haut Sancé","0","998284"
"10098","34","0002","2 | Haut Sancé","0","998854"
"10099","8","0002","2 | Haut Sancé","0","998603"
"101","8","0001","1 | Cesson-Sévigné Champs Blancs","1","998792"
"1010","34","0006","6 | Saint-Jacques Morinais","0","998899"
"10100","14","0002","2 | Haut Sancé","0","996573"
"10101","20","0002","2 | Haut Sancé","0","997647"
"10102","26","0002","2 | Haut Sancé","0","998398"
"10103","34","0002","2 | Haut Sancé","0","998855"
"10104","8","0002","2 | Haut Sancé","0","998607"
"10105","14","0002","2 | Haut Sancé","0","996577"
"10106","20","0002","2 | Haut Sancé","0","997655"
"10107","26","0002","2 | Haut Sancé","0","998402"
"10108","34","0002","2 | Haut Sancé","0","998863"
