trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"10053","8","0064","64 | Cesson-Sévigné Saint-Etienne","1","998778"
"10054","14","0064","64 | Cesson-Sévigné Saint-Etienne","1","997531"
"10055","20","0064","64 | Cesson-Sévigné Saint-Etienne","1","998121"
"10056","26","0064","64 | Cesson-Sévigné Saint-Etienne","1","998359"
"10057","34","0064","64 | Cesson-Sévigné Saint-Etienne","1","999004"
"16668","1","0064","64 | Rennes République","0","983438"
"16669","2","0064","64 | Rennes République","0","999228"
"16670","36","0064","64 | Rennes République","0","983468"
"16671","1","0064","64 | Acigné","1","983438"
"16672","2","0064","64 | Acigné","1","999228"
"16673","36","0064","64 | Acigné","1","983468"
"16674","1","0064","64 | Rennes République","0","983438"
"16675","2","0064","64 | Rennes République","0","999228"
"16676","36","0064","64 | Rennes République","0","983468"
"16677","1","0064","64 | Rennes République","0","983438"
"16678","2","0064","64 | Rennes République","0","999228"
"16679","36","0064","64 | Rennes République","0","983468"
"16680","1","0064","64 | Rennes République","0","983438"
"16681","2","0064","64 | Rennes République","0","999228"
"16682","36","0064","64 | Rennes République","0","983468"
"16683","1","0064","64 | Rennes République","0","983438"
"16684","2","0064","64 | Rennes République","0","999228"
"16685","36","0064","64 | Rennes République","0","983468"
"16686","1","0064","64 | Rennes République","0","983438"
"16687","2","0064","64 | Rennes République","0","999228"
"16688","36","0064","64 | Rennes République","0","983468"
"16689","1","0064","64 | Rennes République","0","983438"
"16690","2","0064","64 | Rennes République","0","999228"
"16691","36","0064","64 | Rennes République","0","983468"
"16692","1","0064","64 | Rennes République","0","983438"
"16693","2","0064","64 | Rennes République","0","999228"
"16694","36","0064","64 | Rennes République","0","983468"
"16695","1","0064","64 | Rennes République","0","983438"
"16696","2","0064","64 | Rennes République","0","999228"
"16697","36","0064","64 | Rennes République","0","983468"
"16698","1","0064","64 | Rennes République","0","983438"
"16699","2","0064","64 | Rennes République","0","999228"
"16700","36","0064","64 | Rennes République","0","983468"
"16701","1","0064","64 | Acigné","1","983438"
"16702","2","0064","64 | Acigné","1","999228"
"16703","36","0064","64 | Acigné","1","983468"
"16704","1","0064","64 | Acigné","1","983438"
"16705","2","0064","64 | Acigné","1","999228"
"16706","36","0064","64 | Acigné","1","983468"
"16707","1","0064","64 | Acigné","1","983438"
"16708","2","0064","64 | Acigné","1","999228"
"16709","36","0064","64 | Acigné","1","983468"
"16710","1","0064","64 | Acigné","1","983438"
"16711","2","0064","64 | Acigné","1","999228"
"16712","36","0064","64 | Acigné","1","983468"
"16713","1","0064","64 | Acigné","1","983438"
"16714","2","0064","64 | Acigné","1","999228"
